sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,reads_after_czid_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_date,water_control,collection_location,Project Source,Sample Species
BT_N_001,Lauren Mee,2022-10-12 07:46:40 -0700,COMPLETE,5440,2301810,780618,33.913,0,1.0,69.08,1.27,1810416,1801480,1250630,"","",987162,Bee,"","","","","","","","","",Abdomen,RNA,07/2019,No,United Kingdom,CompHym22,Bombus terrestris
BT_N_025,Lauren Mee,2022-10-12 07:50:08 -0700,COMPLETE,10017,3447844,1430168,41.48,0,1.0,75.239,1.19,2668946,2653026,2008090,"","",1690916,Bee,"","","","","","","","","",Abdomen,RNA,07/2019,No,United Kingdom,CompHym22,Bombus terrestris
BT_N_029,Lauren Mee,2022-10-12 07:50:31 -0700,COMPLETE,6441,2291362,870052,37.971,0,1.0,69.144,1.18,1875484,1861262,1296776,"","",1101876,Bee,"","","","","","","","","",Abdomen,RNA,07/2019,No,United Kingdom,CompHym22,Bombus terrestris
CA_N_007,Lauren Mee,2022-10-12 07:50:50 -0700,COMPLETE,8257,4141006,1590942,38.419,0,1.0,86.354,1.63,3460040,3458618,2987868,"","",1830286,Bee,"","","","","","","","","",abdomen,RNA,07/2017,No,United Kingdom,CompHym22,Ceratina australensis
CA_N_012,Lauren Mee,2022-10-12 07:51:11 -0700,COMPLETE,8472,3663756,1725866,47.106,0,1.0,85.279,1.44,3157384,3155960,2692576,"","",1873456,Bee,"","","","","","","","","",abdomen,RNA,07/2017,No,United Kingdom,CompHym22,Ceratina australensis
CA_N_030,Lauren Mee,2022-10-12 07:51:32 -0700,COMPLETE,7014,3928358,1853894,47.193,0,1.0,84.785,1.41,3291134,3290032,2790394,"","",1978136,Bee,"","","","","","","","","",abdomen,RNA,07/2017,No,United Kingdom,CompHym22,Ceratina australensis
SRR10034516,Lauren Mee,2022-10-14 04:11:18 -0700,COMPLETE,7393,23362346,1485726,6.359,0,1.0,87.661,2.94,5668038,5580838,4968650,"","",1688110,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR10034517,Lauren Mee,2022-10-14 04:12:35 -0700,COMPLETE,8834,26016414,1459900,5.611,0,1.0,87.092,3.26,5980842,5871106,5208858,"","",1596690,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR6148365,Lauren Mee,2022-10-14 04:14:00 -0700,COMPLETE,9480,9394920,7743653,82.424,2,0.345328,89.916,1.34,8853182,8823384,7960396,"","",5937256,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Andrena cineraria
SRR6148367,Lauren Mee,2022-10-14 04:14:30 -0700,COMPLETE,10161,5412568,4070072,75.197,2,0.527923,86.17,1.09,4880784,4833152,4205784,"","",3874318,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Andrena haemorrhoa
SRR6148373,Lauren Mee,2022-10-14 04:14:52 -0700,COMPLETE,8996,12208970,9786446,80.158,0,0.252434,88.993,1.24,11403934,11385878,10148656,"","",8162558,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Andrena fulva
SRR6148377,Lauren Mee,2022-10-14 04:15:25 -0700,COMPLETE,11279,5023870,3704429,73.737,0,0.742466,89.515,1.39,4246878,4220386,3801572,"","",2739398,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Andrena haemorrhoa
SRR13404631,Lauren Mee,2022-10-14 09:11:52 -0700,COMPLETE,11540,46595672,6108144,13.109,0,0.278237,92.951,2.66,26558198,26557754,24686178,"","",9289322,Bee,"","","","","","","","","",pooled whole bodies,RNA,03/2018,No,Israel,PRJNA687318,Andrena
SRR13404633,Lauren Mee,2022-10-14 09:13:37 -0700,COMPLETE,12086,64376580,35163418,54.621,0,0.159017,93.352,3.44,53903782,53903430,50320066,"","",14625130,Bee,"","","","","","","","","",pooled whole bodies,RNA,03/2018,No,Israel,PRJNA687318,Andrena
SRR13404635,Lauren Mee,2022-10-14 09:15:58 -0700,COMPLETE,12248,36623010,10854103,29.637,0,0.238176,91.577,1.59,16758760,16758600,15347176,"","",9624214,Bee,"","","","","","","","","",pooled whole bodies,RNA,03/2018,No,Israel,PRJNA687318,Andrena
SRR13404640,Lauren Mee,2022-10-14 09:17:21 -0700,COMPLETE,12590,38382282,13825213,36.02,0,0.177727,92.831,1.83,25292168,25291838,23479060,"","",12858558,Bee,"","","","","","","","","",pooled whole bodies,RNA,03/2018,No,Israel,PRJNA687318,Andrena
SRR8335251,Lauren Mee,2022-10-14 09:18:50 -0700,COMPLETE,10359,6884458,4487507,65.183,0,0.637229,83.186,1.47,6820168,6807802,5673446,"","",3865124,Bee,"","","","","","","","","",whole body,RNA,01/2017,No,China,PRJNA510543,Andrena camellia
SRR8335252,Lauren Mee,2022-10-14 09:19:19 -0700,COMPLETE,10385,6427038,3798657,59.104,0,0.758888,79.012,1.47,6317702,6305744,4991770,"","",3392478,Bee,"","","","","","","","","",whole body,RNA,01/2017,No,China,PRJNA510543,Andrena camellia
SRR8335253,Lauren Mee,2022-10-14 09:19:50 -0700,COMPLETE,10581,9148200,5817963,63.597,0,0.469734,82.557,1.43,8993954,8977780,7425134,"","",5204248,Bee,"","","","","","","","","",whole body,RNA,01/2017,No,China,PRJNA510543,Andrena camellia
SRR8335254,Lauren Mee,2022-10-14 09:20:30 -0700,COMPLETE,9054,5708620,3635042,63.676,0,0.753224,82.53,1.41,5616690,5600722,4635450,"","",3285396,Bee,"","","","","","","","","",whole body,RNA,01/2017,No,China,PRJNA510543,Andrena camellia
SRR10034518,Lauren Mee,2022-10-15 03:25:41 -0700,COMPLETE,8368,25496388,1486712,5.831,0,1.0,88.845,2.86,7115128,7019648,6321408,"","",2209466,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR10034519,Lauren Mee,2022-10-15 03:27:06 -0700,COMPLETE,8147,43352284,3475124,8.016,0,1.0,87.3,4.8,15498330,15332308,13529968,"","",2821102,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR10034522,Lauren Mee,2022-10-15 03:29:22 -0700,COMPLETE,8948,33531814,3099584,9.244,0,1.0,89.38,3.49,9001952,8885162,8045978,"","",2305550,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR10034523,Lauren Mee,2022-10-15 03:31:10 -0700,COMPLETE,8255,34845954,1589564,4.562,0,1.0,87.041,4.12,6574298,6458398,5722328,"","",1389438,Bee,"","","","","","","","","",Midgut,RNA,08/2020,No,China,PRJNA562784,Apis cerana
SRR12527949,Lauren Mee,2022-10-15 03:33:02 -0700,COMPLETE,21023,37122098,14803121,39.877,0,0.237196,51.461,1.79,36570706,28142146,18819734,"","",10536826,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659147,Bombus breviceps
SRR12527950,Lauren Mee,2022-10-15 03:34:58 -0700,COMPLETE,19460,21983154,10441953,47.5,0,0.255388,63.536,1.35,21643100,18044534,13751172,"","",10213286,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659148,Bombus breviceps
SRR12527951,Lauren Mee,2022-10-15 03:36:15 -0700,COMPLETE,20319,25080428,10378194,41.38,0,0.248832,56.366,1.31,24753496,19897958,13952622,"","",10689262,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659149,Bombus breviceps
SRR12527952,Lauren Mee,2022-10-15 03:37:39 -0700,COMPLETE,15911,13232186,3078885,23.268,0,0.658912,40.688,1.02,12952168,12951922,5269950,"","",5162594,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659150,Bombus breviceps
SRR13769013,Lauren Mee,2022-10-15 03:38:52 -0700,COMPLETE,10065,17484268,14984808,85.705,0,0.236083,93.185,1.74,16830596,16830596,15683600,"","",8996780,Bee,"","","","","","","","","",pooled whole bodies (293),RNA,01/2011,No,"Scotland, United Kingdom",PRJNA704259,Bombus
SRR1380984,Lauren Mee,2022-10-15 03:39:38 -0700,COMPLETE,3677,7148770,1927964,26.969,0,1.0,61.023,1.57,4884928,4857734,2980926,"","",1900714,Bee,"","","","","","","","","",Gut,RNA,01/2013,No,South Korea,PRJNA235974,Apis cerana
SRR12527928,Lauren Mee,2022-10-16 03:09:58 -0700,COMPLETE,11233,3512640,2302210,65.541,0,1.0,82.085,1.52,3350136,3305564,2749972,"","",1804146,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus confusus
SRR12527929,Lauren Mee,2022-10-16 03:10:19 -0700,COMPLETE,9816,662806,152376,22.99,0,1.0,47.742,1.16,594766,594490,283954,"","",245212,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus haemorrhoidalis
SRR12527943,Lauren Mee,2022-10-16 03:10:31 -0700,COMPLETE,16155,16311430,6697594,41.061,0,0.376334,55.615,1.28,15959452,11504666,8875834,"","",6961356,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659141,Bombus difficillimus
SRR12527944,Lauren Mee,2022-10-16 03:11:28 -0700,COMPLETE,15206,18068676,8044356,44.521,0,0.442143,59.078,1.83,17650720,14670884,10427630,"","",5698428,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659142,Bombus difficillimus
SRR12527947,Lauren Mee,2022-10-16 03:12:29 -0700,COMPLETE,19929,33400616,6286297,18.821,0,0.327427,31.7,1.03,32722700,32722294,10372978,"","",10086344,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659145,Bombus difficillimus
SRR12527962,Lauren Mee,2022-10-16 03:15:13 -0700,COMPLETE,10503,8277422,4614978,55.754,0,0.710433,86.638,1.7,7689662,7689378,6662168,"","",3928928,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus difficillimus
SRR12527963,Lauren Mee,2022-10-16 03:15:48 -0700,COMPLETE,5039,842906,156850,18.608,0,1.0,45.568,1.14,621756,621606,283320,"","",248362,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus breviceps
SRR12527965,Lauren Mee,2022-10-16 03:16:00 -0700,COMPLETE,10297,7612260,4968363,65.268,0,0.474619,88.778,1.28,6983340,6983072,6199692,"","",4855974,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus consobrinus
SRR12527975,Lauren Mee,2022-10-16 03:16:32 -0700,COMPLETE,22279,40218692,22379656,55.645,0,0.105952,73.077,1.2,39855118,33993526,29125098,"","",24340912,Bee,"","","","","","","","","",whole body,DNA,08/2019,No,China,PRJNA659167,Bombus consobrinus
SRR12527976,Lauren Mee,2022-10-16 03:18:40 -0700,COMPLETE,16083,9474614,1396654,14.741,0,1.0,43.865,1.06,9218298,9218132,4043576,"","",3809346,Bee,"","","","","","","","","",whole body,DNA,08/2019,No,China,PRJNA659168,Bombus consobrinus
SRR12527931,Lauren Mee,2022-10-17 01:21:34 -0700,COMPLETE,14563,9698838,4875858,50.273,0,0.491804,70.193,1.21,9625552,8429542,6756430,"","",5587908,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659134,Bombus ignitus
SRR12527935,Lauren Mee,2022-10-17 01:22:37 -0700,COMPLETE,6810,4348214,681116,15.664,0,1.0,45.446,1.47,3793590,3791896,1724020,"","",1173634,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus ignitus
SRR12527942,Lauren Mee,2022-10-17 01:23:24 -0700,COMPLETE,20884,31969392,17583532,55.001,0,0.218079,72.783,1.93,31648350,27165248,23034748,"","",11914928,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659140,Bombus ignitus
SRR12527953,Lauren Mee,2022-10-17 01:27:56 -0700,COMPLETE,19240,42949722,24214094,56.378,0,0.109941,75.13,1.34,42581978,37491208,31991684,"","",23874596,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659151,Bombus ignitus
SRR12527964,Lauren Mee,2022-10-17 01:30:12 -0700,COMPLETE,6125,1277234,340176,26.634,16,1.0,74.068,1.32,1079052,1078816,799228,"","",606966,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus opulentus
SRR12527970,Lauren Mee,2022-10-17 01:30:26 -0700,COMPLETE,15644,12143352,2759921,22.728,0,0.785014,50.188,1.06,12088430,12088078,6066888,"","",5708628,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659162,Bombus opulentus
SRR12527971,Lauren Mee,2022-10-17 01:31:33 -0700,COMPLETE,22082,31185104,15528221,49.794,0,0.156785,71.366,1.23,30891268,26539072,22045802,"","",17898804,Bee,"","","","","","","","","",whole body,DNA,08/2019,No,China,PRJNA659163,Bombus ignitus
SRR13769014,Lauren Mee,2022-10-17 01:33:17 -0700,COMPLETE,11065,5691354,5323265,93.532,0,0.507558,99.187,1.34,5617856,5617854,5572156,"","",4150352,Bee,"","","","","","","","","",pooled whole bodies (182),RNA,01/2011,No,"Scotland, United Kingdom",PRJNA704259,Bombus pascuorum
SRR13769015,Lauren Mee,2022-10-17 01:33:42 -0700,COMPLETE,12641,6946090,6077986,87.502,0,0.489396,91.361,1.49,6862558,6862558,6269698,"","",4212118,Bee,"","","","","","","","","",pooled whole bodies (182),RNA,01/2011,No,"Scotland, United Kingdom",PRJNA704259,Bombus pascuorum
SRR13769016,Lauren Mee,2022-10-17 01:34:37 -0700,COMPLETE,12501,6831040,6087722,89.119,0,0.376493,99.073,1.16,6527976,6527974,6467434,"","",5598272,Bee,"","","","","","","","","",pooled whole bodies (212),RNA,01/2011,No,"Scotland, United Kingdom",PRJNA704259,Bombus lucorum
SRR13769017,Lauren Mee,2022-10-17 01:35:02 -0700,COMPLETE,9882,7897406,6423106,81.332,0,0.376321,90.801,1.22,7450628,7450628,6765212,"","",5548676,Bee,"","","","","","","","","",pooled whole bodies (212),RNA,01/2011,No,"Scotland, United Kingdom",PRJNA704259,Bombus lucorum
SRR6148366,Lauren Mee,2022-10-17 01:36:02 -0700,COMPLETE,4825,716356,511080,71.344,0,1.0,77.581,1.34,681758,672410,528914,"","",393446,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,05/2015,No,Belgium,PRJNA411946,Bombus pascuorum
SRR6148369,Lauren Mee,2022-10-17 01:36:14 -0700,COMPLETE,7032,1632458,1290520,79.054,2,1.0,83.469,1.17,1583458,1541656,1321692,"","",1134166,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Bombus pascuorum
SRR6148372,Lauren Mee,2022-10-17 01:36:29 -0700,COMPLETE,6572,1202346,883980,73.521,0,1.0,79.868,1.29,1143600,1084526,913374,"","",707802,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Bombus pascuorum
SRR6148376,Lauren Mee,2022-10-17 01:36:42 -0700,COMPLETE,9794,2311474,1871338,80.959,0,1.0,86.765,1.19,2235204,2196346,1939376,"","",1633376,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Bombus pascuorum
SRR12527945,Lauren Mee,2022-10-17 04:03:07 -0700,COMPLETE,17923,10643288,5084078,47.768,0,0.881002,72.151,2.28,10333622,9004998,7455758,"","",3274514,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659143,Bombus difficillimus
SRR12527967,Lauren Mee,2022-10-17 04:06:28 -0700,COMPLETE,6254,3584883,2842645,79.295,0,0.977064,99.981,2.74,3341906,3341257,3341257,"","",1218523,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659159,Bombus opulentus
SRR12527969,Lauren Mee,2022-10-17 04:06:46 -0700,COMPLETE,5984,4099943,3234539,78.892,0,0.426949,99.529,1.37,3833340,3815273,3815273,"","",2789150,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659161,Bombus opulentus
SRR12527946,Lauren Mee,2022-10-17 05:50:06 -0700,COMPLETE,14929,5684014,2966409,52.189,0,0.81737,77.574,1.22,5548668,5060672,4304310,"","",3529728,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659144,Bombus difficillimus
SRR12527972,Lauren Mee,2022-10-17 05:50:32 -0700,COMPLETE,10645,8109254,3704812,45.686,0,1.0,58.093,2.68,8061156,6094990,4682954,"","",1744396,Bee,"","","","","","","","","",whole body,DNA,08/2019,No,China,PRJNA659164,Bombus consobrinus
SRR12527973,Lauren Mee,2022-10-17 05:51:04 -0700,COMPLETE,17927,27131814,15136887,55.79,0,0.207446,72.355,1.57,26917542,24331918,19476102,"","",12408090,Bee,"","","","","","","","","",whole body,DNA,08/2019,No,China,PRJNA659165,Bombus consobrinus
SRR12527974,Lauren Mee,2022-10-17 05:53:05 -0700,COMPLETE,14370,20787160,12055252,57.994,0,0.210499,74.826,1.28,20669494,18907920,15466094,"","",12116578,Bee,"","","","","","","","","",whole body,DNA,08/2019,No,China,PRJNA659166,Bombus consobrinus
SRR1503129,Lauren Mee,2022-10-17 05:54:14 -0700,COMPLETE,12837,6747452,4106528,60.86,0,0.609754,85.387,1.26,6616752,6616740,5649826,"","",4483074,Bee,"","","","","","","","","",Whole Body,RNA,04/2011,No,Germany,PRJNA252326,Anthophora plumipes
SRR3383871,Lauren Mee,2022-10-17 05:54:45 -0700,COMPLETE,3919,393764,97994,24.886,0,1.0,96.149,1.87,139913,134525,134525,"","",71987,Bee,"","","","","","","","","",head and abdomen (pooled 5 females),RNA,04/2015,No,Belgium,PRJNA318490,Andrena vaga
SRR12527948,Lauren Mee,2022-10-17 06:26:08 -0700,COMPLETE,7291,5939140,2166798,36.483,0,1.0,51.065,2.55,5816514,4631438,2970218,"","",1166040,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659146,Bombus breviceps
SRR12527959,Lauren Mee,2022-10-17 06:26:34 -0700,COMPLETE,10827,6084838,2856268,46.941,0,1.0,63.369,1.62,6007160,5489678,3806700,"","",2357062,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659157,Bombus opulentus
SRR12527960,Lauren Mee,2022-10-17 06:27:02 -0700,COMPLETE,11997,75000000,74234666,98.98,0,0.0196239,99.037,1.46,74999989,74279091,74277959,"","",51003482,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659158,Bombus ignitus
SRR12527968,Lauren Mee,2022-10-17 06:33:58 -0700,COMPLETE,11524,13041322,6936664,53.19,0,0.515465,72.514,1.81,12959982,11748128,9397838,"","",5187298,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659160,Bombus opulentus
ERR10123638,Lauren Mee,2022-10-18 01:27:49 -0700,COMPLETE,3584,1359738,213926,15.733,0,1.0,35.88,1.22,1295098,1283938,464680,"","",382358,Bee,"","","","","","","","","",abdomen,RNA,09/2020,No,United Kingdom,PRJEB43529,Bombus pascuorum
SRR12233573,Lauren Mee,2022-10-18 01:28:03 -0700,COMPLETE,15184,10291982,6435810,62.532,0,0.389273,78.264,1.26,9910422,9903364,7756318,"","",6155884,Bee,"","","","","","","","","",whole body,RNA,07/2019,No,China,PRJNA646593,Bombus pyrosoma
SRR12233820,Lauren Mee,2022-10-18 01:28:43 -0700,COMPLETE,19888,14091520,9067725,64.349,0,0.297571,79.427,1.36,13530318,13519250,10746770,"","",7926922,Bee,"","","","","","","","","",whole body,RNA,07/2019,No,China,PRJNA646602,Bombus pyrosoma
SRR12235348,Lauren Mee,2022-10-18 01:29:33 -0700,COMPLETE,17952,8267662,4424493,53.516,0,0.563748,71.125,1.26,7799426,7791308,5547334,"","",4420062,Bee,"","","","","","","","","",whole body,RNA,07/2019,No,China,PRJNA646687,Bombus pyrosoma
SRR12244814,Lauren Mee,2022-10-18 01:30:08 -0700,COMPLETE,11552,10543380,6731283,63.844,0,0.370822,81.445,1.25,10076248,10066516,8206580,"","",6581490,Bee,"","","","","","","","","",whole body,RNA,07/2019,No,China,PRJNA646806,Bombus pyrosoma
SRR12245258,Lauren Mee,2022-10-18 01:30:48 -0700,COMPLETE,16614,18093702,13342169,73.739,0,0.188154,86.703,1.26,17566912,17555752,15231118,"","",12122382,Bee,"","","","","","","","","",whole body,RNA,07/2019,No,China,PRJNA646816,Bombus pyrosoma
SRR12245523,Lauren Mee,2022-10-18 01:31:50 -0700,COMPLETE,13985,10468114,6773519,64.706,0,0.373796,82.105,1.27,10000110,9992844,8210582,"","",6466972,Bee,"","","","","","","","","",whole body,RNA,07/2019,No,China,PRJNA646831,Bombus pyrosoma
SRR12527934,Lauren Mee,2022-10-18 01:32:31 -0700,COMPLETE,10462,1541660,447544,29.03,0,1.0,65.486,1.13,1233268,1232764,807616,"","",715510,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus pyrosoma
